nm,n,k,wl
721.802856,1,1.370468,0.721802856
723.389648,1,1.366535,0.723389648
724.976379,1,1.362536,0.724976379
726.56311,1,1.358472,0.72656311
728.149719,1,1.354342,0.728149719
729.736267,1,1.350147,0.729736267
731.322815,1,1.345886,0.731322815
732.909302,1,1.341558,0.732909302
734.495728,1,1.337165,0.734495728
736.082092,1,1.332705,0.736082092
737.668335,1,1.328179,0.737668335
739.254639,1,1.323586,0.739254639
740.84082,1,1.318928,0.74084082
742.426941,1,1.314202,0.742426941
744.013062,1,1.309411,0.744013062
745.59906,1,1.304553,0.74559906
747.185059,1,1.299629,0.747185059
748.770996,1,1.29464,0.748770996
750.356812,1,1.289584,0.750356812
751.942688,1,1.284463,0.751942688
753.528442,1,1.279277,0.753528442
755.114136,1,1.274026,0.755114136
756.699707,1,1.26871,0.756699707
758.285278,1,1.263331,0.758285278
759.870789,1,1.25789,0.759870789
761.456238,1,1.25239,0.761456238
763.041626,1,1.246835,0.763041626
764.627014,1,1.241227,0.764627014
766.21228,1,1.235569,0.76621228
767.797485,1,1.229863,0.767797485
769.382629,1,1.224112,0.769382629
770.967712,1,1.218318,0.770967712
772.552734,1,1.212484,0.772552734
774.137695,1,1.20661,0.774137695
775.722595,1,1.2007,0.775722595
777.307495,1,1.194755,0.777307495
778.892212,1,1.188778,0.778892212
780.476929,1,1.18277,0.780476929
782.061646,1,1.176732,0.782061646
783.646179,1,1.170668,0.783646179
785.230713,1,1.164578,0.785230713
786.815186,1,1.158463,0.786815186
788.399597,1,1.152326,0.788399597
789.983948,1,1.146168,0.789983948
791.568237,1,1.139991,0.791568237
793.152405,1,1.133795,0.793152405
794.736511,1,1.127583,0.794736511
796.320618,1,1.121356,0.796320618
797.904663,1,1.115114,0.797904663
799.488586,1,1.10886,0.799488586
801.072388,1,1.102594,0.801072388
802.65625,1,1.096318,0.80265625
804.23999,1,1.090033,0.80423999
805.823608,1,1.08374,0.805823608
807.407227,1,1.077441,0.807407227
808.990784,1,1.071136,0.808990784
810.574219,1,1.064828,0.810574219
812.157593,1,1.058518,0.812157593
813.740967,1,1.05221,0.813740967
815.324219,1,1.045903,0.815324219
816.907349,1,1.0396,0.816907349
818.49054,1,1.033302,0.81849054
820.073547,1,1.027011,0.820073547
821.656555,1,1.020728,0.821656555
823.239441,1,1.014456,0.823239441
824.822266,1,1.008194,0.824822266
826.404968,1,1.001945,0.826404968
827.987671,1,0.99571,0.827987671
829.570313,1,0.98949,0.829570313
831.152832,1,0.983286,0.831152832
832.735352,1,0.977099,0.832735352
834.317688,1,0.970932,0.834317688
835.900024,1,0.964784,0.835900024
837.4823,1,0.958657,0.8374823
839.064453,1,0.952552,0.839064453
840.646606,1,0.946469,0.840646606
842.228638,1,0.940411,0.842228638
843.810547,1,0.934377,0.843810547
845.392395,1,0.928369,0.845392395
846.974243,1,0.922388,0.846974243
848.555847,1,0.916435,0.848555847
850.137512,1,0.910509,0.850137512
851.719116,1,0.904613,0.851719116
853.300598,1,0.898747,0.853300598
854.882019,1,0.892911,0.854882019
856.463379,1,0.887107,0.856463379
858.044617,1,0.881335,0.858044617
859.625793,1,0.875596,0.859625793
861.206848,1,0.86989,0.861206848
862.787903,1,0.864219,0.862787903
864.368835,1,0.858581,0.864368835
865.949707,1,0.852978,0.865949707
867.530457,1,0.84741,0.867530457
869.111145,1,0.841876,0.869111145
870.691772,1,0.836374,0.870691772
872.272339,1,0.830906,0.872272339
873.852722,1,0.825472,0.873852722
875.433228,1,0.82007,0.875433228
877.013489,1,0.814701,0.877013489
878.593628,1,0.809365,0.878593628
880.173828,1,0.80406,0.880173828
881.753784,1,0.798789,0.881753784
883.333801,1,0.793548,0.883333801
884.913696,1,0.78834,0.884913696
886.493469,1,0.783164,0.886493469
888.073242,1,0.778018,0.888073242
889.652832,1,0.772905,0.889652832
891.2323,1,0.767822,0.8912323
892.811829,1,0.76277,0.892811829
894.391235,1,0.757749,0.894391235
895.97052,1,0.752759,0.89597052
897.549683,1,0.747799,0.897549683
899.128784,1,0.74287,0.899128784
900.707825,1,0.737971,0.900707825
902.286804,1,0.733102,0.902286804
903.865601,1,0.728264,0.903865601
905.444458,1,0.723455,0.905444458
907.023071,1,0.718676,0.907023071
908.601685,1,0.713926,0.908601685
910.180176,1,0.709206,0.910180176
911.758606,1,0.704515,0.911758606
913.336914,1,0.699854,0.913336914
914.915161,1,0.695221,0.914915161
916.493347,1,0.690618,0.916493347
918.071411,1,0.686043,0.918071411
919.649292,1,0.681498,0.919649292
921.227234,1,0.67698,0.921227234
922.804993,1,0.672492,0.922804993
924.38269,1,0.668031,0.92438269
925.960327,1,0.663599,0.925960327
927.537781,1,0.659195,0.927537781
929.115234,1,0.654819,0.929115234
930.692566,1,0.650471,0.930692566
932.269836,1,0.646151,0.932269836
933.846985,1,0.641858,0.933846985
935.424011,1,0.637593,0.935424011
937.000977,1,0.633355,0.937000977
938.57782,1,0.629144,0.93857782
940.154602,1,0.62496,0.940154602
941.731262,1,0.620803,0.941731262
943.307922,1,0.616673,0.943307922
944.884399,1,0.612569,0.944884399
946.460754,1,0.608492,0.946460754
948.036987,1,0.604441,0.948036987
949.613281,1,0.600416,0.949613281
951.189331,1,0.596418,0.951189331
952.76532,1,0.592445,0.95276532
954.341309,1,0.588498,0.954341309
955.917114,1,0.584577,0.955917114
957.492798,1,0.580682,0.957492798
959.068359,1,0.576812,0.959068359
960.643921,1,0.572967,0.960643921
962.21936,1,0.569147,0.96221936
963.794617,1,0.565353,0.963794617
965.369934,1,0.561583,0.965369934
966.945007,1,0.557838,0.966945007
968.52002,1,0.554118,0.96852002
970.09491,1,0.550422,0.97009491
971.6698,1,0.546751,0.9716698
973.244507,1,0.543105,0.973244507
974.819153,1,0.539482,0.974819153
976.393677,1,0.535884,0.976393677
977.968079,1,0.53231,0.977968079
979.542358,1,0.528759,0.979542358
981.116577,1,0.525233,0.981116577
982.690735,1,0.52173,0.982690735
984.264771,1,0.51825,0.984264771
985.838684,1,0.514794,0.985838684
987.412415,1,0.511362,0.987412415
988.986145,1,0.507953,0.988986145
990.559753,1,0.504566,0.990559753
992.133179,1,0.501203,0.992133179
993.706665,1,0.497863,0.993706665
995.279907,1,0.494546,0.995279907
996.853027,1,0.491251,0.996853027
998.426147,1,0.487979,0.998426147
999.999146,1,0.484729,0.999999146
1012.878723,1,0.458947,1.012878723
1016.250183,1,0.452438,1.016250183
1019.622375,1,0.446025,1.019622375
1022.995239,1,0.439707,1.022995239
1026.368652,1,0.433484,1.026368652
1029.74292,1,0.427355,1.02974292
1033.117676,1,0.421319,1.033117676
1036.493286,1,0.415376,1.036493286
1039.869385,1,0.409524,1.039869385
1043.246338,1,0.403764,1.043246338
1046.623779,1,0.398093,1.046623779
1050.001953,1,0.392512,1.050001953
1053.380859,1,0.38702,1.053380859
1056.760498,1,0.381615,1.056760498
1060.140625,1,0.376298,1.060140625
1063.521484,1,0.371068,1.063521484
1066.903076,1,0.365923,1.066903076
1070.2854,1,0.360863,1.0702854
1073.668213,1,0.355888,1.073668213
1077.051758,1,0.350996,1.077051758
1080.436035,1,0.346188,1.080436035
1083.820923,1,0.341462,1.083820923
1087.206543,1,0.336817,1.087206543
1090.592773,1,0.332253,1.090592773
1093.979736,1,0.32777,1.093979736
1097.36731,1,0.323366,1.09736731
1100.755615,1,0.319039,1.100755615
1104.144531,1,0.31479,1.104144531
1107.53418,1,0.310615,1.10753418
1110.924438,1,0.306516,1.110924438
1114.31543,1,0.302488,1.11431543
1117.707031,1,0.298533,1.117707031
1121.099365,1,0.294649,1.121099365
1124.49231,1,0.290835,1.12449231
1127.885986,1,0.28709,1.127885986
1131.280273,1,0.283412,1.131280273
1134.675293,1,0.2798,1.134675293
1138.070923,1,0.276255,1.138070923
1141.467285,1,0.272774,1.141467285
1144.864258,1,0.269357,1.144864258
1148.261963,1,0.266002,1.148261963
1151.660278,1,0.26271,1.151660278
1155.059326,1,0.259478,1.155059326
1158.458984,1,0.256306,1.158458984
1161.859253,1,0.253194,1.161859253
1165.260376,1,0.25014,1.165260376
1168.661987,1,0.247143,1.168661987
1172.064453,1,0.244203,1.172064453
1175.467529,1,0.241319,1.175467529
1178.871216,1,0.23849,1.178871216
1182.275635,1,0.235715,1.182275635
1185.680664,1,0.232993,1.185680664
1189.086304,1,0.230325,1.189086304
1192.492798,1,0.227708,1.192492798
1195.89978,1,0.225142,1.19589978
1199.307617,1,0.222626,1.199307617
1202.716064,1,0.22016,1.202716064
1206.125122,1,0.217742,1.206125122
1209.534912,1,0.215371,1.209534912
1212.945313,1,0.213046,1.212945313
1216.356445,1,0.210765,1.216356445
1219.768188,1,0.208528,1.219768188
1223.180664,1,0.206332,1.223180664
1226.59375,1,0.204179,1.22659375
1230.007568,1,0.202065,1.230007568
1233.421997,1,0.199991,1.233421997
1236.837158,1,0.197955,1.236837158
1240.25293,1,0.195956,1.24025293
1243.669434,1,0.193993,1.243669434
1247.086548,1,0.192066,1.247086548
1250.504395,1,0.190173,1.250504395
1253.922852,1,0.188313,1.253922852
1257.342041,1,0.186487,1.257342041
1260.761841,1,0.184692,1.260761841
1264.182373,1,0.182928,1.264182373
1267.603516,1,0.181194,1.267603516
1271.025391,1,0.17949,1.271025391
1274.447998,1,0.177814,1.274447998
1277.871094,1,0.176166,1.277871094
1281.294922,1,0.174545,1.281294922
1284.719482,1,0.172951,1.284719482
1288.144775,1,0.171382,1.288144775
1291.570557,1,0.169838,1.291570557
1294.997192,1,0.168318,1.294997192
1298.424316,1,0.166822,1.298424316
1301.852295,1,0.165349,1.301852295
1305.280762,1,0.163898,1.305280762
1308.710083,1,0.162469,1.308710083
1312.139893,1,0.161061,1.312139893
1315.570557,1,0.159674,1.315570557
1319.001709,1,0.158306,1.319001709
1322.433716,1,0.156958,1.322433716
1325.866333,1,0.155628,1.325866333
1329.299561,1,0.154317,1.329299561
1332.733521,1,0.153024,1.332733521
1336.168091,1,0.15175,1.336168091
1339.603271,1,0.150494,1.339603271
1343.039307,1,0.149256,1.343039307
1346.47583,1,0.148036,1.34647583
1349.913208,1,0.146834,1.349913208
1353.351196,1,0.145651,1.353351196
1356.789795,1,0.144485,1.356789795
1360.229126,1,0.143338,1.360229126
1363.669189,1,0.142208,1.363669189
1367.109741,1,0.141097,1.367109741
1370.551025,1,0.140003,1.370551025
1373.993042,1,0.138927,1.373993042
1377.435791,1,0.137869,1.377435791
1380.87915,1,0.136828,1.38087915
1384.322998,1,0.135806,1.384322998
1387.767822,1,0.1348,1.387767822
1391.213135,1,0.133812,1.391213135
1394.65918,1,0.132842,1.39465918
1398.105835,1,0.131889,1.398105835
1401.553223,1,0.130953,1.401553223
1405.001221,1,0.130035,1.405001221
1408.449951,1,0.129133,1.408449951
1411.899292,1,0.128249,1.411899292
1415.349365,1,0.127382,1.415349365
1418.800049,1,0.126531,1.418800049
1422.251465,1,0.125697,1.422251465
1425.703491,1,0.124881,1.425703491
1429.15625,1,0.12408,1.42915625
1432.609619,1,0.123297,1.432609619
1436.063721,1,0.12253,1.436063721
1439.518555,1,0.121779,1.439518555
1442.973877,1,0.121045,1.442973877
1446.430054,1,0.120327,1.446430054
1449.886841,1,0.119625,1.449886841
1453.344238,1,0.11894,1.453344238
1456.802368,1,0.11827,1.456802368
1460.261108,1,0.117616,1.460261108
1463.720581,1,0.116978,1.463720581
1467.180786,1,0.116356,1.467180786
1470.641479,1,0.11575,1.470641479
1474.103027,1,0.115159,1.474103027
1477.565186,1,0.114584,1.477565186
1481.027954,1,0.114024,1.481027954
1484.491455,1,0.113479,1.484491455
1487.955566,1,0.112949,1.487955566
1491.42041,1,0.112434,1.49142041
1494.885986,1,0.111933,1.494885986
1498.352051,1,0.111445,1.498352051
1501.81897,1,0.110969,1.50181897
1505.286377,1,0.110506,1.505286377
1508.754639,1,0.110054,1.508754639
1512.223389,1,0.109612,1.512223389
1515.692993,1,0.109181,1.515692993
1519.163208,1,0.10876,1.519163208
1522.634033,1,0.108347,1.522634033
1526.105591,1,0.107944,1.526105591
1529.577881,1,0.107548,1.529577881
1533.050659,1,0.10716,1.533050659
